,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
165,Data Business Analyst,Razer Inc.,Singapore,Posted 17 days ago,,USD,102000.0,144000.0,123000.0
166,Data Analyst - Regional Operations,Goldman Sachs,Singapore,Posted a month ago,3,,,,
167,Senior Data Analyst,Tan Tock Seng Hospital,Singapore,Posted a month ago,4,,,,
168,Actuarial Data Analyst,,Singapore,Posted a month ago,1,,,,
169,Senior Data Analyst,GIC PRIVATE LIMITED,Singapore,Posted a month ago,,USD,45600.0,62400.0,54000.0
170,Data Analyst,ShopBack,Singapore,Posted a month ago,,USD,60000.0,96000.0,78000.0
171,Data Analyst,Kpler,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
172,Data Analyst (JD#9795),JobAlly,Singapore,Posted a month ago,,USD,48000.0,66000.0,57000.0
173,Data Analyst,Singtel,"Singapore, Cecil Street",Posted a month ago,,USD,48000.0,60000.0,54000.0
174,"12 Months Data Analyst, Raffles Place",LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
175,Data Analyst,PEOPLEBANK SINGAPORE PTE. LTD.,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
176,Data Analyst,ByteDance,Singapore,Posted a month ago,,USD,54000.0,84000.0,69000.0
177,Data Analyst (JD#9784),NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,Singapore,Posted a month ago,,USD,42000.0,60000.0,51000.0
178,Data Analyst (JD#9823),Shopee,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
179,"Senior Data Analyst, Data Management Unit (Healthcare Sector) - #SM",SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,57600.0,67200.0,62400.0
180,Senior Data Analyst,ZENITH INFOTECH (S) PTE LTD.,"Shenton Way, Singapore",Posted a month ago,,USD,96000.0,120000.0,108000.0
181,Data Analyst (JD#9757),Mighty Bear Games,Singapore,Posted a month ago,,USD,42000.0,54000.0,48000.0
