job_title,company_name,location,salary,skills,date_posted
Data Analyst | Bank | Contract,RANDSTAD PTE. LIMITED,Singapore,"5 - 7 Years
•
USD 90,000 - 108,000 per month","DRM Implementation and Management using Tivoli Storage Manager
IBM Spectrum Protect
NDMP Backup using IBM Tivoli Storage Manager
LTO Tape Drives
TSM Server and Client Options
IBM Tivoli Storage Manager for VMware
IBM Tivoli Storage Manager Server
Networking
Veritas Netbackup
Tape Libraries
Windows
UNIX
DB2",Posted 17 days ago
"6 Months Data Analyst, Raffles Place",,Singapore,"5 - 7 Years
•
USD 48,000 - 54,000 per month","Alteryx
Tableau
Databricks
Sql",Posted 17 days ago
Data Analyst,Razer (Asia-Pacific) Pte Ltd,"Singapore, Bukit Merah, Jalan Bukit Merah","1 - 3 Years
•
USD 60,000 - 72,000 per month","R
data manipulation and analysis libraries
Powerbi
PowerShell
Microsoft
Sql
Python",Posted 17 days ago
Actuarial Data Analyst,AMBITION GROUP SINGAPORE PTE. LTD.,"Singapore, Cross Street","1 - 4 Years
•
USD 54,000 - 108,000 per month","Power Bi
Vba
Excel
Sql
Python",Posted 17 days ago
Data Analyst,IMKEY PTE. LTD.,"Orchard Road, Singapore","3 - 6 Years
•
USD 54,000 - 63,600 per month","Data Analysis
logical data models
data analysis methods
Documentation
data dictionaries
data structures",Posted 17 days ago
*Urgent- NEW* 6 Months Contract Data Analyst (Banking Sector)- ($3500-$4000) #NJE,INFOCEPTS PTE. LTD.,"Orchard Road, Singapore","3 - 6 Years
•
USD 42,000 - 48,000 per month","scorecard migration
qualitative data analysis
SC Migration
exception review report
ECDD CRRD CDD reviews
Early Alert review
re-rating Stales Overrides
DMP DRP Report
S35 Tagging",Posted 17 days ago
"6 Months Data Analyst, Tampines",ERNST & YOUNG ADVISORY PTE. LTD.,Singapore,"3 - 5 Years
•
USD 66,000 - 78,000 per month","GANs
VAEs
Transformers
R
generative AI models
Power Bi
Tableau
Sql
Python
Machine Learning Algorithms",Posted 17 days ago
"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",TikTok,Singapore,"2 - 5 Years
•
USD 44,400 - 50,400 per month","dashboard designing
Tableau",Posted 17 days ago
"Downstream Architect (Data Analyst, Google Cloud) #IAC",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Orchard Road, Singapore","5 - 7 Years
•
USD 72,000 - 108,000 per month","Relational Databases
DataLake
Data Governance Tool
Looker
Bi Tools
BigQuery
Collibra
Javascript
Python
Google Cloud",Posted 17 days ago
Data Analyst (Proficient in Tamil/Punjabi Language),HUDSON RPO (SINGAPORE) PTE. LTD.,Singapore,"1 - 4 Years
•
USD 72,000 - 102,000 per month","Tableau
Sql
Python",Posted 17 days ago
Data Analyst,KERRY LOGISTICS MANAGEMENT (ASIA) PTE. LTD.,"Science Park, Singapore","2 - 4 Years
•
USD 60,000 - 78,000 per month","Planisware Project System
Data Visualization tools
Power Bi
Microsoft Office
Python
Sql",Posted 17 days ago
Healthcare Data Analyst (WEST) #HJW,MUNICH MANAGEMENT PTE. LTD.,"Orchard Road, Singapore","Fresher
•
USD 42,000 - 54,000 per month","Data Collection
Reporting",Posted 17 days ago
Senior Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, North Bridge","4 - 6 Years
•
USD 96,000 - 132,000 per month","Analytical Skills
Data pipelines
Business Intelligence",Posted 17 days ago
Data Analyst Intern (Minimum 5-Month Commitment),RECRUIT EXPRESS PTE LTD,"Singapore, Tai Seng","Fresher
•
USD 12,000 - 18,000 per month","Word
R
Powerpoint
Ms Excel
Javascript
Python
Sql",Posted 17 days ago
Data Analyst Specialist - WC2,HUDSON RPO (SINGAPORE) PTE. LTD.,Singapore,"1 - 3 Years
•
USD 48,000 - 84,000 per month","R
data manipulation and analysis libraries
Power Bi
PowerShell
Python
Sql",Posted 17 days ago
IT Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, Robinson","5 - 7 Years
•
USD 66,000 - 102,000 per month","Power Bi
Ansible
Tableau
SSIS
Mssql
Qliksense
Sql
Aws S3",Posted 17 days ago
Data Analyst,RECRUIT EXPRESS PTE LTD,"Shenton Way, Singapore","5 - 7 Years
•
USD 84,000 - 114,000 per month","SDLC methodology
snowflake
DeltaLake
Kanban
OLTP Data Lake
Lakehouse technologies
S3
Data Factory
PostgreSQL
AWS Glue
Tableau
Informatica
JIRA
Confluence
Javascript
Scrum
Python
Agile Methodologies
Scala
Bash
Redshift
Sql
DataBricks
MS SQL
Powerbi
Xml
Etl",Posted 17 days ago
Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Singapore, Toa Payoh","2 - 5 Years
•
USD 55,200 - 72,000 per month","data visualization tools
Seaborn
geospatial analysis
Power Bi
Matplotlib
Data Cleaning
Tableau",Posted 17 days ago
Business Data Analyst,,"Singapore, Thomson","7 - 10 Years
•
USD 72,000 - 96,000 per month","data analysis tools
reporting tool integration
data warehousing principles
Power Bi
Tableau
Excel
Sql",Posted 17 days ago
Business Data Analyst (JD#9846),AMBITION GROUP SINGAPORE PTE. LTD.,Singapore,"3 - 5 Years
•
USD 60,000 - 78,000 per month","Sql
Python",Posted 17 days ago
Data Analyst (Population Health Analytics),RANDSTAD PTE. LIMITED,"Singapore, North Buona Vista","6 - 9 Years
•
USD 60,000 - 96,000 per month","health economics
R
Stata
Statistics
Data Science
SAS
Tableau
Data Analytics
Python",Posted 17 days ago
Business Data Analyst (JD#9879),RECRUIT EXPRESS PTE LTD,Singapore,"3 - 5 Years
•
USD 66,000 - 78,000 per month","Data Quality
Data Profiling
Data Governance
Sql
Python",Posted 17 days ago
"Snr/ Research Data Analyst, Healthcare REF: EN",NETWORK GUARD PTE. LTD.,"Singapore, North Bridge","1 - 3 Years
•
USD 42,000 - 78,000 per month","Stata
Spss",Posted 17 days ago
"Data Analyst, Trust & Safety - 6 months contract",ESGPEDIA PTE. LTD.,"Singapore, Raffles Link / Raffles Place","2 - 4 Years
•
USD 60,000 - 67,200 per month","Policy
referrals
Social Media
Ability To Work Independently
enforcement
Communication Skills
Written English
Critical Thinking
Customer Experience
Data Analysis
Inventory
social media strategy",Posted 17 days ago
3 months Contract Data Analyst *Healthcare*,WECRUIT PTE. LTD.,Singapore,"1 - 4 Years
•
USD 33,600 - 42,000 per month","Product Management
Public Health
Segmentation
population health
Life Sciences
Healthcare
Mathematics
Statistics
Program Management
Strategic Planning",Posted 17 days ago
Data Analyst | Bank | Contract,EPS COMPUTER SYSTEMS PTE LTD,Singapore,"5 - 7 Years
•
USD 54,000 - 96,000 per month","DRM Implementation and Management using Tivoli Storage Manager
Veritas Netbackup BAU operations for VM backup and recovery
IBM Spectrum Protect
LTO Tape Drives
NDMP Backup using IBM Tivoli Storage Manager
TSM Server and Client Options
IBM Tivoli Storage Manager for VMware
IBM Tivoli Storage Manager Server
Networking
Tape Libraries
Windows
UNIX
DB2",Posted 17 days ago
Data Analyst (JD#9883),LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,"2 - 4 Years
•
USD 48,000 - 60,000 per month","Microsoft O360 Suite
data visualisation tools
Uat
Data Governance
Sql",Posted 17 days ago
Data Analyst Intern,SEMBCORP SOLAR SINGAPORE PTE. LTD.,Singapore,Fresher,"GenAI
Data Analysis
Machine Learning
Sql
Agile Methodology
Python",Posted 17 days ago
Data Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,"Singapore, Robinson","2 - 5 Years
•
USD 66,000 - 102,000 per month","Airflow
Statistical Knowledge
Orchestration
Data Modeling
Power Bi
Dynamodb
OLAP
Big Data
Tableau
Sql
Data Quality
Databases
Powerbi
MySQL
Data Visualization
Data Governance
Azure
Data Analytics
Python
Etl",Posted 17 days ago
Senior Actuarial Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Cross Street","5 - 10 Years
•
USD 60,000 - 108,000 per month","Data Services
Sql",Posted 17 days ago
"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",SYNAPXE PTE. LTD.,Singapore,"2 - 5 Years
•
USD 44,400 - 50,400 per month","dashboard designing
Tableau",Posted 17 days ago
Data Analyst (Live Commerce),SCIENTE INTERNATIONAL PTE. LTD.,"Pasir Panjang, Singapore","2 - 4 Years
•
USD 60,000 - 96,000 per month","Pivots
Looker Studio
GA4
livestream analytics
Vlookup
Data Visualization
Microsoft Office
Tableau
Excel
Adobe Analytics",Posted 17 days ago
3 Months Temp Executive - Data Analyst ( Healthcare) - One North,JOBSTUDIO PTE. LTD.,"Orchard Road, Singapore","1 - 4 Years
•
USD 36,000 - 50,400 per month","visualization tools
Data Analytics
Microsoft Office",Posted 17 days ago
"Data Analyst, ETL (Reputable sports retail)) #NJH",HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,"2 - 4 Years
•
USD 72,000 - 84,000 per month","Microsoft Power Automated
Power Bi
Excel
Api Integration
Sql
Etl",Posted 17 days ago
*FMCG* 15 Months Data Analyst ($6000 to $7000) #NJN,RECRUIT EXPRESS PTE LTD,Singapore,"2 - 4 Years
•
USD 72,000 - 84,000 per month","ETL processes
Power Bi
microsoft power automate
Excel
Api Integration
Sql",Posted 17 days ago
Data Analyst (Apprenticeship Programme),,"Singapore, Battery Road","2 - 5 Years
•
USD 20,400 - 24,000 per month","CRM Tools
Data Analysis
Data Management
google sheets
Hubspot
Microsoft Excel",Posted 17 days ago
Data Analyst (Proficient in German Language),RANDSTAD PTE. LIMITED,Singapore,"1 - 4 Years
•
USD 72,000 - 96,000 per month","Search and recommendations engines
Tableau
Sql
Python",Posted 17 days ago
Data Analyst (Healthcare Sector) - #SM,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,"2 - 5 Years
•
USD 57,600 - 69,600 per month","Data Analysis
logical data models
data dictionaries
Data Management
Reporting Tools",Posted 17 days ago
#SGUNITED JOBS Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,"3 - 6 Years
•
USD 60,000 - 108,000 per month","Feature engineering
Analytics
Power Bi
Pyspark
Data Integration
Data Cleaning
Microsoft Azure
Microsoft BI",Posted 17 days ago
Functional Data Analyst (Shipping Logistic BG),ADDX,"Orchard Road, Singapore","2 - 5 Years
•
USD 63,600 - 68,400 per month","Looker
Tableau",Posted 17 days ago
Healthcare Data Analyst (WEST) #HJW,EPS COMPUTER SYSTEMS PTE LTD,"Orchard Road, Singapore","Fresher
•
USD 42,000 - 54,000 per month","Data Collection
Reporting",Posted 17 days ago
Senior Data Analyst,MUNICH MANAGEMENT PTE. LTD.,"Singapore, North Bridge","4 - 6 Years
•
USD 96,000 - 132,000 per month","Analytical Skills
Data pipelines
Business Intelligence",Posted 17 days ago
"Junior Data Analyst (1 Year Contract) | Up to $3,000/mth [ID:ELLL]",RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place","1 - 4 Years
•
USD 33,600 - 36,000 per month","data analysis tools
Data Cleaning
Data Visualization",Posted 17 days ago
Senior Data Analyst,CHEIL SINGAPORE PTE. LTD.,"Singapore, Cecil Street","2 - 5 Years
•
USD 60,000 - 72,000 per month","Machine learning techniques
Statistical methods
Power Bi
Data Visualization
Tableau
Etl Process
Python
Sql",Posted 17 days ago
Senior Data Analyst - 4 months contract,RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place","5 - 7 Years
•
USD 132,000 - 156,000 per month","strategic insights
Sql",Posted 17 days ago
Data Analyst (Healthcare),RECRUIT EXPRESS PTE LTD,Singapore,"2 - 4 Years
•
USD 48,000 - 54,000 per month","Data analysis tools such as Excel
Problem-solving
Process improvements and innovation
Statistical Analysis",Posted 17 days ago
"Data Analyst (1-year contract, with possibility of renewal)",RECRUIT EXPRESS PTE LTD,"Singapore, Maxwell","1 - 3 Years
•
USD 30,000 - 48,000 per month","R
Data Entry
Data Cleaning
Power Bi
Excel
Statistical Analysis
Sql
Python",Posted 17 days ago
Data Analyst (JD#9845),SMARTKARMA INNOVATIONS PTE. LTD.,Singapore,"2 - 4 Years
•
USD 48,000 - 72,000 per month","BI Tableau
Data Management
Spark
Data Governance
Python
Sql",Posted 17 days ago
Senior Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Singapore, Thomson","2 - 5 Years
•
USD 68,400 - 72,000 per month","Machine learning techniques
Statistical methods
Power Bi
Data Visualization
Tableau
Etl Process
Sql
Python",Posted 17 days ago
Data Analyst Specialist - WC2,TALENTS@WORK PTE. LTD.,Singapore,"1 - 3 Years
•
USD 48,000 - 84,000 per month","R
data manipulation and analysis libraries
Power Bi
PowerShell
Python
Sql",Posted 17 days ago
IT Data Analyst,ITCAN PTE. LIMITED,"Singapore, Robinson","5 - 7 Years
•
USD 66,000 - 102,000 per month","Power Bi
Ansible
Tableau
SSIS
Mssql
Qliksense
Sql
Aws S3",Posted 17 days ago
Data Analyst,RECRUIT EXPRESS PTE LTD,"Shenton Way, Singapore","5 - 7 Years
•
USD 84,000 - 114,000 per month","SDLC methodology
snowflake
DeltaLake
Kanban
OLTP Data Lake
Lakehouse technologies
S3
Data Factory
PostgreSQL
AWS Glue
Tableau
Informatica
JIRA
Confluence
Javascript
Scrum
Python
Agile Methodologies
Scala
Bash
Redshift
Sql
DataBricks
MS SQL
Powerbi
Xml
Etl",Posted 17 days ago
Data Analyst Intern (Minimum 5-Month Commitment),,"Singapore, Tai Seng","Fresher
•
USD 12,000 - 18,000 per month","Word
R
Powerpoint
Ms Excel
Javascript
Python
Sql",Posted 17 days ago
*NEW* 15 Months Contract Data Analyst ($6000- $7000) #NJE,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Orchard Road, Singapore","2 - 4 Years
•
USD 72,000 - 84,000 per month","Apis
Power Bi
Excel
Sql
Etl",Posted 17 days ago
15 Months Data Analyst #EEF,RECRUIT EXPRESS PTE LTD,"Orchard Road, Singapore","4 - 7 Years
•
USD 72,000 - 84,000 per month","Power Bi
microsoft power automate
Excel
Api Integration
Sql",Posted 17 days ago
