,job_title,company_name,location,experience,date_posted,currency,min_salary,max_salary,median_salary
125,Sr/Data Analyst (IMI Service),WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,1,Posted a month ago,,,,
126,"Sr/Data Analyst, Data Management Unit",XFERS PTE. LTD.,Singapore,3,Posted a month ago,,,,
127,Data Analyst - SeaMoney Credit,AEON SEARCH CONSULTING PTE. LTD.,Singapore,1,Posted a month ago,,,,
128,HR Data Analyst,MASON & CO PTE. LTD.,Singapore,1,Posted a month ago,,,,
129,Data Analyst,CTES CONSULTING PTE. LTD.,Singapore,1,Posted a month ago,,,,
130,EOSH Data Analyst - Intern,Munich Re,Singapore,1,Posted a month ago,,,,
131,Data Analyst,RANDSTAD PTE. LIMITED,Singapore,1,Posted a month ago,,,,
132,"Data Analyst (Tableau, R, Python, SQL, Power BI, Advanced Excel)",ZENITH INFOTECH (S) PTE LTD.,"Singapore, Bukit Batok",,Posted a month ago,USD,42000.0,60000.0,51000.0
133,Data Quality Analyst - Aviation,SWAT MOBILITY PTE. LTD.,Singapore,1,Posted 6 days ago,,,,
134,Data Intelligence Analyst,,Singapore,3,Posted 8 days ago,,,,
135,Data Operations Analyst,Terrascope,Singapore,4,Posted 7 days ago,,,,
136,Data Insight Analyst,RANDSTAD PTE. LIMITED,Singapore,1,Posted 11 days ago,,,,
137,Business Analyst (Data Migration),OCBC,Singapore,4,Posted 11 days ago,,,,
138,"Manager/ Senior Manager, Data Business Analyst",Inland Revenue Authority of Singapore (IRAS),"Singapore, Kallang",6,Posted 17 days ago,,,,
139,IT Application Analyst (Data & Process Analytics),FINEXIS ADVISORY PTE. LTD.,Singapore,6,Posted 15 days ago,,,,
140,Senior Associate IT Data Centre Operations Analyst (Network & Security),ST ENGINEERING LAND MRO & SERVICES PTE. LTD.,Singapore,4,Posted 20 days ago,,,,
141,Data Management Analyst,Tan Tock Seng Hospital,Singapore,4,Posted 25 days ago,,,,
142,Business Analyst - Data Governance | Contract | Bank,Tan Tock Seng Hospital,Singapore,4,Posted 25 days ago,,,,
143,Career Conversion Programme – Business Analyst (Local Business Owner Master Data),SeaMoney,"Singapore, Tuas",1,Posted 29 days ago,,,,
144,Market Data Services Product Analyst,DSO National Laboratories,Singapore,2,Posted 29 days ago,,,,
145,Senior Data Excellence Analyst APAC Brenntag Specialties,HCLTech,Singapore,6,Posted 23 days ago,,,,
146,Senior Associate IT Data Centre Operations Analyst (Systems),The Coca-Cola Company,Singapore,4,Posted 26 days ago,,,,
147,LLM Global Data - LLM Performance Operation Analyst (Non-safety),Randstad Singapore,Singapore,1,Posted a month ago,,,,
148,Data/BI Analyst (PowerBI),ALLIANCE HEALTHCARE GROUP LIMITED,"Singapore, Temasek Boulevard",,Posted a month ago,USD,60000.0,84000.0,72000.0
149,SAP Data Migration Analyst,Independent Consultant,Singapore,,Posted a month ago,USD,54000.0,78000.0,66000.0
150,Data/BI Analyst (PowerBI),Publicis Groupe Singapore,"Singapore, Temasek Boulevard",,Posted a month ago,USD,60000.0,84000.0,72000.0
151,LLM Global Data - LLM Performance Operation Analyst (Non-safety),,Singapore,1,Posted a month ago,,,,
152,Data Management Analyst,RANDSTAD PTE. LIMITED,Singapore,,Posted a month ago,USD,72000.0,126000.0,99000.0
153,Data Team Analyst,Point72,"Singapore, Temasek Avenue",,Posted a month ago,USD,104400.0,135600.0,120000.0
154,Data Quality Engineer/Analyst,Hytech,"Eunos, Singapore",,Posted a month ago,USD,72000.0,144000.0,108000.0
155,Data Quality Engineer/Analyst - A24122,Nicoll Curtin,"Eunos, Singapore",,Posted a month ago,USD,72000.0,144000.0,108000.0
156,"Intermediate Business Analyst, Data Solutions",Kallang Alive Sport Management Co Pte. Ltd.,"Singapore, Marina",,Posted a month ago,USD,84000.0,132000.0,108000.0
157,"Project Business Analyst (Data Analytics, Cloud)",Getinge,"Singapore, North Buona Vista",,Posted a month ago,USD,60000.0,96000.0,78000.0
158,Data and Billing Analyst,"NTT DATA, Inc.",Singapore,,Posted a month ago,USD,42000.0,54000.0,48000.0
159,"Analyst, Data Governance (Job ID: 10068361)",SPD Scientific,Singapore,,Posted a month ago,USD,40800.0,53832.0,47316.0
160,"Operations Analyst, Data Services",Manpower Singapore,Singapore,4,Posted a month ago,,,,
